2/19 19:48:45.369  Client Initialize.
2/19 19:48:53.028  Initial Hotfixes: Requested
2/19 19:48:53.281  Initial Hotfixes: Received
2/19 19:48:53.587  Initial Hotfixes: Applied
2/19 19:48:54.787  Loading Screen Enable : 1643 - 1
2/19 19:48:56.492  Client Object Manager Initialized: 1643
2/19 19:48:56.832  Loading Screen : Loading : Files Read 1280 : Bytes Read 488775351 : Elapsed MS 2046 : MBytes Per Sec 227.826
2/19 19:48:56.832  Loading Screen : XML Loaded 3%
2/19 19:48:59.323  Loading Screen : Loading : Files Read 196 : Bytes Read 8056978 : Elapsed MS 2490 : MBytes Per Sec 3.086
2/19 19:48:59.323  Loading Screen : XML Loaded 32%
2/19 19:49:01.771  Loading Screen : Loading : Files Read 44 : Bytes Read 1376544 : Elapsed MS 2447 : MBytes Per Sec 0.536
2/19 19:49:01.771  Loading Screen : XML Loaded 41%
2/19 19:49:03.906  Loading Screen : Loading : Files Read 67 : Bytes Read 7297115 : Elapsed MS 2136 : MBytes Per Sec 3.258
2/19 19:49:03.906  Loading Screen : XML Loaded 52%
2/19 19:49:06.945  Loading Screen : Loading : Files Read 5 : Bytes Read 411556 : Elapsed MS 3030 : MBytes Per Sec 0.130
2/19 19:49:06.945  Loading Screen : XML Loaded 60%
2/19 19:49:08.992  Loading Screen : Loading : Files Read 6 : Bytes Read 24743 : Elapsed MS 2057 : MBytes Per Sec 0.011
2/19 19:49:08.992  Loading Screen : XML Loaded 68%
2/19 19:49:11.142  Loading Screen : Loading : Files Read 5 : Bytes Read 22522 : Elapsed MS 2150 : MBytes Per Sec 0.010
2/19 19:49:11.142  Loading Screen : XML Loaded 80%
2/19 19:49:13.208  Loading Screen : Loading : Files Read 3 : Bytes Read 42057 : Elapsed MS 2066 : MBytes Per Sec 0.019
2/19 19:49:13.208  Loading Screen : XML Loaded 94%
2/19 19:49:15.767  Client : Load Map Begin : 1643
2/19 19:49:15.767  Loading Screen : Loading : Files Read 38 : Bytes Read 757928 : Elapsed MS 2564 : MBytes Per Sec 0.282
