2/19 19:48:40.027  Connection Initialize
2/19 19:48:48.588  Glue Start Login
2/19 19:48:48.588  BattleNet Attempt Logon
2/19 19:48:48.819  BattleNet Front Connected
2/19 19:48:48.903  BattleNet Logon Queue Update
2/19 19:48:49.203  BattleNet Logon Complete
2/19 19:48:49.286  BattleNet Game Account Name
2/19 19:48:49.353  BattleNet Attempt Complete Login
2/19 19:48:49.803  BattleNet Realm List Ticket
2/19 19:48:49.953  BattleNet Sub Region List
2/19 19:48:50.353  BattleNet Last Played Char
2/19 19:48:50.403  BattleNet Last Played Char
2/19 19:48:50.403  BattleNet Join Realm
2/19 19:48:50.804  BattleNet Realm Join
2/19 19:48:50.804  Change Connection
2/19 19:48:50.804  Connect
2/19 19:48:50.837  Handle Connect
2/19 19:48:52.370  Handle Auth Response: 0
2/19 19:48:52.370  Glue Authed To WoW: 0
2/19 19:48:52.842  BattleNet Connected To Realm
2/19 19:48:52.842  BattleNet Front Disconnecting
2/19 19:48:53.281  BattleNet Front Disconnected
2/19 19:48:53.627  Handle Char Enum
2/19 22:07:04.199  Handle Logout Response: 0
2/19 22:07:04.772  Handle Logout Complete
2/19 22:07:11.469  Disconnect: 13
2/19 22:07:11.493  Connection Destroy
