2/18 19:44:26.287  ---- Startup ----
2/18 19:44:36.686  ---- ClientAvailableHotfixes ----
2/18 19:44:36.686      116, Vignette
2/18 19:44:36.686      118, Vignette
2/18 19:44:36.686      120, Vignette
2/18 19:44:36.686      121, SpellVisualKitModelAttach
2/18 19:44:36.686      125, SpellMisc
2/18 19:44:36.686      127, SpellMisc
2/18 19:44:36.686      128, SpellMisc
2/18 19:44:36.686      129, SpellMisc
2/18 19:44:36.686      130, SpellMisc
2/18 19:44:36.686      187, SpellEffect
2/18 19:44:36.686      188, SpellEffect
2/18 19:44:36.686      193, SpellEffect
2/18 19:44:36.686      194, SpellEffect
2/18 19:44:36.686      195, SpellEffect
2/18 19:44:36.686      196, SpellEffect
2/18 19:44:36.686      197, SpellEffect
2/18 19:44:36.686      199, SpellEffect
2/18 19:44:36.686      202, SpellEffect
2/18 19:44:36.686      203, SpellEffect
2/18 19:44:36.686      204, SpellEffect
2/18 19:44:36.686      205, SpellEffect
2/18 19:44:36.686      206, SpellEffect
2/18 19:44:36.686      210, SpellEffect
2/18 19:44:36.686      212, SpellEffect
2/18 19:44:36.686      213, SpellMisc
2/18 19:44:36.686      214, SpellMisc
2/18 19:44:36.686      215, SpellMisc
2/18 19:44:36.686      216, SpellMisc
2/18 19:44:36.686      218, SpellMisc
2/18 19:44:36.686      219, SpellMisc
2/18 19:44:36.686      221, SpellMisc
2/18 19:44:36.686      223, SpellMisc
2/18 19:44:36.686      227, SpellMisc
2/18 19:44:36.686      228, SpellMisc
2/18 19:44:36.686      232, SpellAuraOptions
2/18 19:44:36.686      247, JournalEncounterSection
2/18 19:44:36.686      251, JournalSectionXDifficulty
2/18 19:44:36.686      253, JournalSectionXDifficulty
2/18 19:44:36.686      254, JournalSectionXDifficulty
2/18 19:44:36.686      255, JournalSectionXDifficulty
2/18 19:44:36.686      256, JournalSectionXDifficulty
2/18 19:44:36.686      259, JournalSectionXDifficulty
2/18 19:44:36.686      260, JournalSectionXDifficulty
2/18 19:44:36.686      263, QuestV2CliTask
2/18 19:44:36.686      263, QuestV2
2/18 19:44:36.686      266, AreaTriggerActionSet
2/18 19:44:36.686      267, AreaTriggerCreateProperties
2/18 19:44:36.686      278, ItemSearchName
2/18 19:44:36.686      278, ItemSparse
2/18 19:44:36.686      278, TradeSkillItem
2/18 19:44:36.686      278, Item
2/18 19:44:36.686      278, TransmogHoliday
2/18 19:44:36.686      279, TradeSkillItem
2/18 19:44:36.686      279, ItemSparse
2/18 19:44:36.686      279, ItemSearchName
2/18 19:44:36.686      279, Item
2/18 19:44:36.686      279, TransmogHoliday
2/18 19:44:36.686      280, TransmogHoliday
2/18 19:44:36.686      280, Item
2/18 19:44:36.686      280, TradeSkillItem
2/18 19:44:36.686      280, ItemSparse
2/18 19:44:36.686      280, ItemSearchName
2/18 19:44:36.686      281, TradeSkillItem
2/18 19:44:36.686      281, ItemSparse
2/18 19:44:36.686      281, ItemSearchName
2/18 19:44:36.686      281, TransmogHoliday
2/18 19:44:36.686      281, Item
2/18 19:44:36.686      282, TransmogHoliday
2/18 19:44:36.686      282, Item
2/18 19:44:36.686      282, ItemSearchName
2/18 19:44:36.686      282, ItemSparse
2/18 19:44:36.686      282, TradeSkillItem
2/18 19:44:36.686      283, TradeSkillItem
2/18 19:44:36.686      283, ItemSparse
2/18 19:44:36.686      283, ItemSearchName
2/18 19:44:36.686      283, Item
2/18 19:44:36.686      283, TransmogHoliday
2/18 19:44:36.686      299, ItemXBonusTree
2/18 19:44:36.686      300, ItemXBonusTree
2/18 19:44:36.686      301, ItemXBonusTree
2/18 19:44:36.686      302, ItemXBonusTree
2/18 19:44:36.686      303, ItemXBonusTree
2/18 19:44:36.686      304, ItemXBonusTree
2/18 19:44:36.686      306, ItemXBonusTree
2/18 19:44:36.686      308, QuestFeedbackEffect
2/18 19:44:36.686      309, SpellMisc
2/18 19:44:36.686      310, WorldEffect
2/18 19:44:36.686      321, SpellVisualEffectName
2/18 19:44:36.686      344, QuestLineXQuest
2/18 19:44:36.686      346, QuestLineXQuest
2/18 19:44:36.686      347, QuestLineXQuest
2/18 19:44:36.686      349, QuestLineXQuest
2/18 19:44:36.686      351, QuestLineXQuest
2/18 19:44:36.686      352, QuestLineXQuest
2/18 19:44:36.686      355, SpellMisc
2/18 19:44:36.686      356, AreaTriggerCreateProperties
2/18 19:44:36.686      379, Creature
2/18 19:44:36.686      447, Movie
2/18 19:44:36.686      449, SpellEffect
2/18 19:44:36.686      450, SpellMisc
2/18 19:44:36.686      452, CriteriaTreeXEffect
2/18 19:44:36.686      454, QuestPOIPoint
2/18 19:44:36.686      461, SpellMisc
2/18 19:44:36.686      469, JournalSectionXDifficulty
2/18 19:44:36.686      470, JournalSectionXDifficulty
